ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
378,"Merritt, Anna Lea",Female,1844â€“1930,1844,1930,"Philadelphia, United States","Hurstbourne Tarrant, United Kingdom",http://www.tate.org.uk/art/artists/anna-lea-merritt-378
2540,"Trower, Walter John, Bishop of Gibraltar",Male,c.1804â€“1877,1804,1877,,"West Sussex, United Kingdom",http://www.tate.org.uk/art/artists/walter-john-trower-bishop-of-gibraltar-2540
1370,"Jones, David",Male,1895â€“1974,1895,1974,"Kent, United Kingdom","Harrow, United Kingdom",http://www.tate.org.uk/art/artists/david-jones-1370
444,"Reynolds, Sir Joshua",Male,1723â€“1792,1723,1792,"Plympton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-joshua-reynolds-444
51,"Bramley, Frank",Male,1857â€“1915,1857,1915,"Lincolnshire, United Kingdom","Chalford, United Kingdom",http://www.tate.org.uk/art/artists/frank-bramley-51
839,"Burt, Laurence",Male,born 1925,1925,,United Kingdom,,http://www.tate.org.uk/art/artists/laurence-burt-839
11595,"Moriyama, Daido",Male,born 1938,1938,,"Osaka, Nihon",,http://www.tate.org.uk/art/artists/daido-moriyama-11595
1979,"Spoerri, Daniel",Male,born 1930,1930,,"Galati, RomÃ¢nia",,http://www.tate.org.uk/art/artists/daniel-spoerri-1979
2293,"Ryan, Veronica",Female,born 1956,1956,,Montserrat,,http://www.tate.org.uk/art/artists/veronica-ryan-2293
2084,"Uglow, Euan",Male,1932â€“2000,1932,2000,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/euan-uglow-2084
8314,"David, Enrico",Male,born 1966,1966,,"Ancona, Italia",,http://www.tate.org.uk/art/artists/enrico-david-8314
1636,"Milne, John",Male,1931â€“1978,1931,1978,"Lancashire, United Kingdom",,http://www.tate.org.uk/art/artists/john-milne-1636
19,"Barker, Thomas, of Bath",Male,1769â€“1847,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
194,"Frith, William Powell",Male,1819â€“1909,1819,1909,"Ripon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-powell-frith-194
187,"Florence, Mary Sargant",Male,1857â€“1954,1857,1954,"London, United Kingdom","Twickenham, United Kingdom",http://www.tate.org.uk/art/artists/mary-sargant-florence-187
280,"Howitt, Samuel",Male,1756â€“1822,1756,1822,,"London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-howitt-280
2285,"Davis, Lady",Female,1866â€“1941,1866,1941,"London, United Kingdom","Romsey, United Kingdom",http://www.tate.org.uk/art/artists/lady-davis-nee-mary-halford-2285
9590,"Kelm, Annette",Female,born 1975,1975,,"Stuttgart, Deutschland",,http://www.tate.org.uk/art/artists/annette-kelm-9590
174,"Faed, Thomas",Male,1826â€“1900,1826,1900,"Gatehouse of Fleet, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-faed-174
1468,"Larionov, Michel",Male,1881â€“1964,1881,1964,"Tiraspol, Moldova","Fontenay-aux-Roses, France",http://www.tate.org.uk/art/artists/michel-larionov-1468
2311,"Francis, Mark",Male,born 1962,1962,,"Newtownards, United Kingdom",,http://www.tate.org.uk/art/artists/mark-francis-2311
1310,"Horton, Percy",Male,1897â€“1970,1897,1970,"Brighton, United Kingdom",,http://www.tate.org.uk/art/artists/percy-horton-1310
1086,"Feibusch, Hans",Male,1898â€“1998,1898,1998,"Frankfurt an der Oder, Deutschland",,http://www.tate.org.uk/art/artists/hans-feibusch-1086
1894,"Sander, Ludwig",Male,1906â€“1975,1906,1975,Staten Island,"New York, United States",http://www.tate.org.uk/art/artists/ludwig-sander-1894
49,"Boys, Thomas Shotter",Male,1803â€“1874,1803,1874,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-shotter-boys-49
443,"Reinagle, Ramsay Richard",Male,1775â€“1862,1775,1862,,"London, United Kingdom",http://www.tate.org.uk/art/artists/ramsay-richard-reinagle-443
976,"Darboven, Hanne",Female,1941â€“2009,1941,2009,"MÃ_nchen, Deutschland","Hamburg, Deutschland",http://www.tate.org.uk/art/artists/hanne-darboven-976
1160,"Giardelli, Arthur",Male,1911â€“2009,1911,2009,"London, United Kingdom","Haverfordwest, United Kingdom",http://www.tate.org.uk/art/artists/arthur-giardelli-1160
1944,"Sims, Charles",Male,1873â€“1928,1873,1928,"Islington, United Kingdom",,http://www.tate.org.uk/art/artists/charles-sims-1944
